ID,豫州,兖州,凉州,并州,幽州,青州,扬州,交州,荆州,益州,徐州,司隶,冀州,雍州,标题,内容,地名,地x,地y
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.汉室将倾,公元2世纪末，东汉王朝内部倾轧严重，吏治腐败，朝廷威信严重削弱。因土地兼并，农民流离失所，为了求得生存，于是他们纷纷加入了张角创立的太平道。,洛阳,268,188
2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2.内乱之兆,太平道教主张角以【苍天已死，黄天当立；岁在甲子，天下大吉】为号，煽动民众反抗。,钜鹿,300,153
3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3.太贤良师,公元184年，张角最终举起反汉大旗，自封为【大贤良师】，以太平要术为宗，招纳信众并严密训练，以备举兵之事。,钜鹿,300,153
4,4,4,0,4,4,4,0,0,0,0,4,0,4,0,4.张角举兵,由于行事不密，被奸细告密的张角即刻揭竿而起，自号【天公将军】，并封其弟张宝，张梁为【地公将军】，【人公将军】，将兵数十万遂成野火燎原之势。,,,
5,4,4,0,4,4,4,0,0,0,0,4,0,4,0,5.黄巾之乱,因跟随张角的信众们都头裹黄布，民间遂称其为【黄巾军】，而这场浩劫也被称为【黄巾之乱】。黄巾军在各地势如破竹，汉军溃不能挡。,,,
6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6.绝地反击,对得势的黄巾军，朝廷派皇甫、卢植等前往讨伐。黄巾军已在中原各地展开，幽州太守刘焉聚齐大旗招募义兵。,幽州,311,111
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.桃园结义,时局糜烂，忧国忧民的刘备遂立志救大厦于将倾。并与意气相投的关羽张飞结为义兄弟，在桃园立下了不求同年同月同日生，但愿同年同月同日死的誓言。,楼桑村,291,112
8,4,4,0,4,4,4,0,0,0,0,4,0,4,0,8.诸侯参战,后世所称道之乱世奸雄曹操率先战胜了张宝张梁两人所部。参照较晚的刘备也斩获颇丰，一举冲出张角军的包围圈，挽救了危机之中的董卓。讨伐军很快扭转了形势。,,,
9,4,4,0,4,4,4,0,0,0,0,4,0,4,0,9.黄巾覆灭,随着张角的病逝，黄巾军颓势更加不可挽回。此外，张梁和张宝两人殒命沙场，终于使得这场浩劫在一年后平息下来。零星抵抗的残余势力也逐渐被讨伐军的孙坚剿灭。,,,
10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10.战乱平息,至此，黄巾之乱终于告终。有人因军工而位列诸侯，有人获得重赏，也有郁郁不得志而遁隐山林者，境遇大凡不同。经此一战，各路群雄粉墨登场，一场好戏即将上演。,洛阳,268,188
