ID,豫州,兖州,凉州,并州,幽州,青州,扬州,交州,荆州,益州,徐州,司隶,冀州,雍州,标题,内容,地点,地x,地y
1,2,2,2,2,2,2,3,3,1,1,2,2,2,2,1.刘备自立汉中王,经过数次北伐，刘备终于控制了汉中。于公元219年自立汉中王。同时镇守荆州的关羽也出兵北伐，进攻魏将曹仁驻守的樊城。,汉中,209,214
2,2,2,2,2,2,2,3,3,1,1,2,2,2,2,2.荆州之争,关羽水攻击败敌人，保卫樊城。吕蒙伺机夺回荆州，并提携陆逊为后继。,樊城,298,222
3,2,2,2,2,2,2,3,3,3,1,2,2,2,2,3.败走麦城,不出吕蒙所料，关羽疏于防范，吕蒙趁机联络魏军前后夹攻，关羽不敌，只好游走麦城，终被生擒。,麦城,261,222
4,2,2,2,2,2,2,3,3,3,1,2,2,2,2,4.义将辞世,关羽拒绝投降孙权，便被处以斩首。不久，吕蒙病逝，关羽的首级被送至曹操处，曹操厚葬之。随后，曹操辞世。,洛阳,259,175
5,2,2,2,2,2,2,3,3,3,1,2,2,2,2,5.两位皇帝,公元220年，曹操之子曹丕废除献帝，建立魏国。翌年，刘备也以汉朝正统为名自立为蜀汉皇帝。随机为报关羽之仇，刘备下令东征。,孟达投降魏国,224,209
6,2,2,2,2,2,2,3,3,3,1,2,2,2,2,6.张飞遇害,刘备大怒，赵云等人也无法劝阻。张飞也想为关羽报仇，但招致部下怨恨，出征前即遭暗杀。,巴西,188,215
7,2,2,2,2,2,2,3,3,3,1,2,2,2,2,7.兴兵伐吴,刘备悲痛欲绝，更下决心讨伐。完全无视孙权提出的和谈建议，最后孙权只好臣服于魏国，刘备则是亲征，吴蜀之战一触即发。,夷陵,253,222
8,2,2,2,2,2,2,3,3,3,1,2,2,2,2,8.大都督陆逊,孙权任命陆逊为大都督，低于刘备。意气风发的刘备军沿着长江岸边扎营，营寨一路深入到吴国领地内的夷陵。不过，陆逊却避战不出。,夷陵,253,222
9,2,2,2,2,2,2,3,3,3,1,2,2,2,2,9.夷陵大败,蜀军劳师远征，军心疲惫。公元222年，陆逊见时机成熟，下令火攻。士气溃散的蜀军一溃千里。,夷陵,253,222
10,2,2,2,2,2,2,3,3,3,1,2,2,2,2,10.白帝托孤,逃至白帝城的刘备托孤于诸葛亮，于223年驾崩。翌月，刘禅在成都继承蜀汉皇帝之位。,白帝城,223,219
