ID,地名,地理坐标x,地理坐标y,事件,事件2,时间,所属州
1,沛国,305,205,出生世家,曹操生于官宦世家，养祖父是宦官曹腾，历侍四代天子，汉桓帝时封为费亭侯。父亲曹嵩是曹腾养子，汉灵帝时官至太尉。,155,1
2,颍川,288,206,镇压黄巾,184年，黄巾之乱，朝廷任命曹操为骑都尉，前往颍川镇压。由于镇压黄巾军有功，升任济南相。,184,1
3,洛阳,268,188,潜逃出京,189年，汉灵帝驾崩，太子刘辩登基，太后临朝听政。董卓入京执掌朝政，想拉拢曹操。但曹操没有接受，潜逃出洛阳。,189,12
4,陈留,312,178,举兵反董,曹操在陈留征募士兵讨伐董卓。190年与袁术，孙坚，袁绍，鲍信等人一起举兵反董。,190,2
5,济北,327,169,青州兵,192年，青州黄巾军入侵兖州。刘岱，鲍信都战死。曹操担任兖州牧，追击至济北，逼降黄巾军，选出精锐，号称青州兵。曹操作为一方势力渐成气候。,192,2
6,鄄城,333,175,击败吕布,曹操在兖州与吕布、张邈等交战，双方互有胜负，兖州之地也反复易主。曹操命荀彧、程昱坚守鄄城，并以此为根据地，终于击破吕布，平定兖州。,195,2
7,许昌,323,215,迎接献帝,196年，曹操听从谋士荀彧建议迎接皇帝。由于洛阳经董卓破坏得残破不堪，汉室迁都至许昌。,196,1
8,官渡,282,169,官渡之战,200年，占领刘备的徐州后，曹操和袁绍开战。于官渡之战中听取许攸建议攻取乌巢，扭转了战局，打败袁绍。,200,12
9,邺城,290,137,迁都邺城,204年，曹操把自己的据点北迁到了冀州邺城。,204,13
10,长沙,288,252,赤壁之战,208年，曹操被任命为丞相，并亲征荆州，在长坂坡击败刘备。刘备和孙权联合后于赤壁之战打败了曹操。,208,9
11,陇西,148,141,凉州之战,211年，曹操用兵关中，马超等十部起兵反曹，曹操依贾诩离间之计离间马超和韩遂，一举击溃了关中联军。,211,3
12,长安,230,193,汉中之战,217年，刘备进攻汉中，孙权进攻合肥。由于形势紧张，曹操九月亲自到长安坐镇。后来刘备一再击败曹操，成功夺取汉中。,217,12
13,洛阳,268,188,逝世,曹操在建安二十五年（220年）正月廿三日庚子（3月15日）病逝于洛阳，享年66岁。,220,12
