地名,x,y,介绍,人物
代郡,289,110,现地址：山西大同市阳高县西南。战国赵武灵王置。秦、西汉治所在代县。西汉辖境相当今河北怀安、蔚县以西、山西阳高、浑源以东内、外长城间地以及长城外东洋河流域。东汉移治高柳，三国魏治同西汉，但郡辖地西部范围缩小。因本郡先后北邻匈奴、乌桓、鲜卑等族，故一直为北方要郡。有五原、常山等关。,
广阳,350,95,现地址：北京西南。秦始皇二十一年（前226）灭燕后置郡。汉初改置燕国。元凤初复为广阳郡。本始初改为国。治所在蓟县（今北京城西南）。辖境相当今北京大兴、河北固安等县地。东汉初废入上谷郡。永元中复置郡。三国魏太和六年（232）改燕国。黄巾起义时本郡民众曾攻杀太守，揭竿而起。,傅士仁
乐浪,426,110,现地址：朝鲜平壤市。汉武帝元封三年（前108）置。治所在朝鲜（今朝鲜平壤南）。辖境相当今朝鲜平安南道，黄海南北道、江原道和咸镜南道地。三国时辖境缩小。,
辽东,410,93,现地址：辽宁朝阳市朝阳县。战国燕置，治所在襄平（今辽宁朝阳），辖境相当于今辽宁医巫闾山以东和丹东、抚顺、本溪以西地区。,公孙渊
辽西,403,94,现地址：辽宁锦州市义县西。战国燕置。治所在阳乐（今辽宁义县西）。辖境相当今河北迁西、长城以南，辽宁松山岭以东，大凌河下游以西地。,韩综，韩当，公孙越，公孙瓒
上谷,325,111,现地址：河北张家口市怀来县东南三十公里。战国燕置。秦代故治沮阳，即今河北怀来东南三十公里。东汉同。辖境相当今河北张家口、小五台山以东、北京延庆、昌平居庸关以西、房山以北至长城以内。,
玄菟,382,77,现地址：辽宁沈阳市东。汉武帝元封三年（前108）置。治所沃沮城（今朝鲜咸镜南道咸兴），辖境相当今辽宁东部东至朝鲜咸镜道一带。三国魏移治今辽宁沈阳东二十公里。辖境缩小，只相当今辽宁以沈阳为中心、北至铁岭、西至辽中、东至抚顺营盘、商至辽阳铧子附近很小的一块地区。,
北平,319,109,现地址：河北唐山市丰润区东南。战国燕置。秦故治无终，即今之天津蓟县。西汉移治平刚，即今辽宁凌源西南。东汉移治土垠，即今河北丰润东南。其辖境已经大为缩小，仅相当今之天津蓟县、河北兴隆、遵化、丰润、唐山等县、市地。,田续
渔阳,350,98,现地址：北京密云县西南。战国燕置，秦汉治所在渔阳（今北京密云西南）。辖境相当今河北围场以南，蓟运河以西，天津以北，北京怀柔、通县以东地区。,田豫
涿郡,333,112,现地址：河北保定市涿州。汉高帝置。治所在涿县（今河北涿州）。辖境约当今北京房山以南，河北易县、清苑以东，安平、河间以北，霸县、任丘以西地区。三国魏黄初中改为范阳郡。,简雍，孙礼，张飞，张苞，刘禅，卢植
