人名,所属,词频,关系,x,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liubei,1,10,0,5,30,刘备,,,,,,,,,,,,,,,,,,,,,,,,,,,
caocao,2,8,10,472,365,曹操,击败,协助,拉拢,投靠,合兵,借兵,摆脱,对抗,1,1,1,2,3,1,2,2,-12,8,5,8,6,6,-8,-15,,,
fazheng,1,2,10,410,436,法正,请教,劝谏,1,2,6,8,,,,,,,,,,,,,,,,,,,,,
gongsunzan,4,3,3,317,443,公孙瓒,同门,投奔,保奏,3,1,2,0,7,4,,,,,,,,,,,,,,,,,,
liubiao,4,3,8,221,469,刘表,迎接,礼待,顾忌,2,2,2,8,8,-8,,,,,,,,,,,,,,,,,,
liushan,1,1,10,147,405,刘禅,父子,3,10,1,1,5,8,6,9,,,,,,,,,,,,,,,,,,
liuzhang,4,3,4,43,332,刘璋,出迎,关系恶化,对抗,2,3,1,4,-15,-10,,,,,,,,,,,,,,,,,,
luxun,3,2,-8,89,222,陆逊,以逸待劳,大败,2,2,0,-15,,,,,,,,,,,,,,,,,,,,,
lvbu,4,9,-25,189,181,吕布,投靠,善待礼遇,尊敬,戒备,攻打,兵败,消灭,嫌恶,议和,2,1,1,1,2,1,1,2,1,5,8,8,-6,-10,-10,-12,-8,3
sunquan,3,6,12,229,95,孙权,结盟,妹嫁予,宽度,亲密,对峙,议和,1,2,2,3,3,1,7,5,5,9,-9,3,,,,,,,,,
taoqian,4,2,17,314,108,陶谦,亲戚,部下,2,1,9,8,,,,,,,,,,,,,,,,,,,,,
xiahoudun,2,4,5,377,155,夏侯惇,解救,南侵,追杀,对峙,2,2,2,3,5,-5,-10,-8,,,,,,,,,,,,,,,
yuanshao,4,2,11,468,181,袁绍,说服,连和,1,3,1,0,,,,,,,,,,,,,,,,,,,,,
zhugeliang,1,5,5,422,271,诸葛亮,三顾茅庐,驰援,上书,丞相,赞扬,1,2,2,2,2,3,8,4,8,10,,,,,,,,,,,,
