人名,所属,词频,关系,x,y,,,,,,,,,,,,,,,,,,,
jiangwei,1,7,0,6,57,姜维,,,,,,,,,,,,,,,,,,
caocao,2,1,9,421,396,曹操,主君,2,0,,,,,,,,,,,,,,,
dengai,5,6,-57,292,372,邓艾,据守,大败,牵制,以逸待劳,摆脱,挑战,2,2,2,2,1,1,0,-8,-4,-4,0,0
guohuai,5,1,-8,177,444,郭淮,交战,3,-8,,,,,,,,,,,,,,,
jiangwan,1,1,6,75,348,蒋琬,同僚,3,8,,,,,,,,,,,,,,,
liushan,1,2,18,128,219,刘禅,主君,授假节,2,2,10,5,,,,,,,,,,,,
zhugeliang,1,2,25,205,154,诸葛亮,器重,跟随,2,1,9,6,,,,,,,,,,,,
xiahouba,5,1,-8,309,80,夏侯霸,交战,3,-8,,,,,,,,,,,,,,,
caopi,2,1,9,420,150,曹丕,主君,2,0,,,,,,,,,,,,,,,
feiyi,1,1,8,474,273,费祎,不依从,2,-6,,,,,,,,,,,,,,,
