人名,所属,词频,关系,x,y,,,,,,,,,,,,,,,
caocao,2,5,0,2,30,曹操,,,,,,,,,,,,,,
baoxin,4,3,12,450,344,鲍信,迎接,推举,举兵反董,2,2,3,6,6,0,,,,,
caozhang,2,3,26,374,368,曹彰,增援,部下,儿子,2,1,1,8,8,10,,,,,
dongzhuo,2,4,-7,375,474,董卓,拉拢,举兵反董,潜逃,讨伐,2,3,1,1,7,0,-6,-8,,
liubei,1,5,-24,290,415,刘备,汉中之战,攻下徐州,重创,败于,主君,3,1,1,1,1,0,-8,-8,9
liuxie,4,4,28,242,400,刘协,投靠,册封,迎接,主君,2,2,1,1,5,8,6,9,,
lvbu,4,3,-22,187,392,吕布,交战,击破,生擒,3,1,1,-8,-6,-8,,,,,
machao,1,4,-16,129,365,马超,联合反曹,兵败,击溃,离间之计,2,2,1,1,0,-8,-8,0,,
qiaoxuan,2,3,17,114,306,桥玄,看重,建议,祭祀,2,2,1,9,0,8,,,,,
simayi,2,2,21,126,246,司马懿,劝阻迁都,部下,2,1,5,8,,,,,,,,
xiahoudun,2,2,17,135,190,夏侯惇,亲戚,部下,3,1,9,8,,,,,,,,
xiahouyuan,2,4,25,191,164,夏侯渊,亲戚,派遣,任命,守将,3,1,1,1,9,5,8,5,,
xuyou,2,2,11,222,90,许攸,投奔,献策,2,2,5,6,,,,,,,,
xunyu,2,4,-5,298,32,荀彧,反对,部下,听从,不悦,2,1,1,1,-10,8,5,-8,,
yujin,2,2,8,370,82,于禁,派遣,部下,1,1,5,8,,,,,,,,
yuanshao,4,4,5,456,110,袁绍,盟军,举兵反董,会战,协助,3,3,3,1,5,0,-8,8,,
zhanglu,4,3,-14,440,210,张鲁,投降,讨伐,进攻,2,1,1,2,-8,-8,,,,,
zhangxiu,4,4,-22,422,274,张绣,投降,袭击,征讨,攻击,2,2,1,1,2,-8,-8,-8,,
