ID,豫州,兖州,凉州,并州,幽州,青州,扬州,交州,荆州,益州,徐州,司隶,冀州,雍州,标题,内容,地点,地x,地y
1,2,2,2,2,2,2,3,3,3,1,2,2,2,2,1.第三代曹芳,公元239年，五丈原之战五年后，魏国第二代皇帝曹睿病倒，继位者是曹睿之子曹芳，年仅八岁。,洛阳,,
2,2,2,2,2,2,2,3,3,3,1,2,2,2,2,2.司马懿雌伏,曹爽架空司马懿，自己掌握实权。司马懿则装病让曹爽失去戒心。,洛阳,,
3,2,2,2,2,2,2,3,3,3,1,2,2,2,2,3.司马懿就任丞相,司马懿趁曹爽不在率领其子和部下进入宫中，向皇帝上奏剥夺曹爽的权力并将其处死。司马懿拜为丞相，掌握了魏国的实权。,洛阳,,
4,2,2,2,2,2,2,3,3,3,1,2,2,2,2,4.司马懿传司马师,两年后司马懿逝世，长子司马师受封为大将军，次子司马昭受封为骠骑上将军。,洛阳,,
5,2,2,2,2,2,2,3,3,3,1,2,2,2,2,5.第四代曹髦,计划败露，曹芳被废去帝位。曹髦被拥立为新皇帝。不满司马氏的叛乱不断发生，司马师在这过程中病逝。,洛阳,,
6,2,2,2,2,2,2,3,3,3,1,2,2,2,2,6.司马师传司马昭,司马师死后不久，司马昭继承其位。诸葛亮堂弟诸葛诞举旗叛变，但为司马昭的大军击败。然而，此时连宫中都燃起了叛乱的火种。,诸葛诞叛变,,
7,2,2,2,2,2,2,3,3,3,1,2,2,2,2,7.第五代曹奂,因无法忍受司马昭的专横，曹髦计划反抗，却也遭司马昭的手下所杀。司马昭立曹奂为第五代天子。,洛阳,,
8,2,2,2,2,2,2,3,3,3,2,2,2,2,2,8.出兵伐蜀,政局安稳之后，司马昭正式出兵伐蜀。首先由钟会攻陷汉中，又以邓艾紧逼成都。刘禅投降，蜀国灭亡。,成都,,
9,2,2,2,2,2,2,3,3,3,2,2,2,2,2,9.晋王之后,因平定蜀国，司马昭被封为晋王，一年，司马昭病倒，命长子司马炎继任。,洛阳,,
10,5,5,5,5,5,5,3,3,3,5,5,5,5,5,10.以晋代魏,最后，曹奂禅让司马炎，公元265年，魏终被晋国取代。,洛阳,,
