ID,豫州,兖州,凉州,并州,幽州,青州,扬州,交州,荆州,益州,徐州,司隶,冀州,雍州,标题,内容,地名,地x,地y
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.弑杀董卓,逃回长安的董卓企图篡汉自立，但被王允以及吕布设计杀害。董卓的旧属闻讯后兴兵复仇将王允杀害，而吕布则逃离了长安。,长安,230,193
2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2.流亡者吕布,走投无路的吕布漂泊至兖州，和曹操展开了拉锯战，最后战败逃向徐州。正遇到此时收到陶谦临终托付而主政徐州的刘备。,,,
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.刘备遭算计,吕布与刘备以兄弟相称，留在了徐州，并趁其外出之际占领了下邳城。刘备不得已向吕布投诚，但却因张飞的原因，而导致他们关系的最终决裂，只好投奔曹操。,下邳,334,191
4,2,2,0,0,0,0,0,0,0,0,0,2,0,0,4.奸雄与英雄,曹操以英雄相惜之情厚遇刘备，对四面受敌的曹操来说，最大的威胁莫不是吕布。为此他派使者联络刘备，欲结盟对付吕布。但不料消息败露，让吕布所知晓。,小沛,335,182
5,2,2,0,0,0,0,0,0,0,0,0,2,0,0,5.对决吕布,吕布盛怒之下发兵进攻刘备。曹操军派遣夏侯惇救援刘备，却因其左眼中箭而败退。刘备不幸失败，最终曹操决定亲自率军出征。,小沛,335,182
6,2,2,0,0,0,0,0,0,0,0,0,2,0,0,6.下邳包围战,198年，曹操大军包围了下邳城。他采纳军事的计策，对下邳发动水攻。大水涌向了下邳城，吕布军心大乱。,下邳,334,191
7,2,2,0,0,0,0,0,0,0,0,0,2,0,0,7.吕布自取灭亡,吕布意志消沉沉溺酒色，之后因反省颁布禁酒令，却碰巧有人献酒，招致吕布责罚，众将士逐渐离心。,,,
8,2,2,0,0,0,0,0,0,0,0,0,2,0,0,8.生擒吕布,叛离吕布的将领偷走了赤兔马，献给曹操，并放曹操军进程。沉睡中的吕布被五花大绑，送到了曹操的面前。,下邳,334,191
9,2,2,0,0,0,0,0,0,0,0,0,2,0,0,9.猛将末日,见到曹操后，吕布提出共谋天下的建议。刘备却以董卓等人的下场来警告曹操。吕布对刘备破口大骂，但也只是无谓的挣扎。,下邳,334,191
10,2,2,0,0,0,0,0,0,0,0,1,2,0,0,10.枭雄离世,一代枭雄就此陨灭，曹操和刘备返回许都。但刘备不甘久居人下，其利用讨伐袁术之机，脱离曹操，在徐州自立。,许都,323,215
