ID,地名,地理坐标x,地理坐标y,事件,事件2,时间,所属州
1,涿郡,333,111,早年生涯,刘备是汉景帝第九子中山靖王刘胜之子刘贞后代，其父在少时已逝，刘备便与母亲贩卖草鞋、织草席为业。后外出求学，黄巾之乱爆发后，刘备也前往讨伐。,161,5
2,小沛,335,182,依附陶谦,曹操征讨徐州，徐州牧陶谦败退。刘备前往相救，后被曹操击败。刘备依附陶谦，被任为豫州刺史，屯兵小沛。,193,11
3,下邳,334,191,入主徐州,陶谦病重，命糜竺迎刘备入主徐州。刘备初不愿接受，后被劝说，遂领徐州牧。,194,11
4,梁国,311,214,转战吕布,吕布被曹操击败后投靠刘备。196年，袁术攻打徐州。吕布乘机偷袭占据下邳。刘备投靠曹操，共同击败了吕布。,198,1
5,邺城,290,137,对抗曹操,后刘备向曹操借兵乘机摆脱曹操，连同多势力一起反曹。最后大败，逃至青州，受到了袁绍的迎接。,199,6
6,汝南,288,208,投靠刘表,于官渡之战大败袁绍的曹操攻打汝南，刘备败走弃城，派糜竺与刘表会面。,201,1
7,南阳,286,232,博望坡之战,被刘表接收的刘备屯兵于新野。后曹将夏侯惇，于禁等南侵博望，双方对峙，刘备火烧营地伪退，夏侯惇追杀，为伏兵击破。,202,9
8,樊城,260,230,南下之危,刘备三顾茅庐请出诸葛亮为军师。后曹操南下，刘表之子刘琮投降，不知情的刘备只能弃新野南撤。,208,9
9,当阳,255,255,长坂坡之战,刘备军在当阳的长坂坡被曹军追上。曹军大举擒获刘备军，刘备惟有弃妻儿，向汉津逃往。,208,9
10,乌林,300,256,结盟孙权,刘备派诸葛亮结盟孙权，在乌林的赤壁与周瑜，程普的部队一起大破曹军。追至南郡，最后曹操只能北还。,208,9
11,雒城,160,220,占荆夺蜀,后刘备和刘璋决裂，依庞统计策攻打刘璋。战事长达一年，庞统在攻打雒城时战死。诸葛亮，张飞，赵云也从荆州率兵入蜀驰援刘备，后雒城终被攻破，马超也投降刘备。,214,10
12,汉中,204,213,汉中之争,孙权要求归还荆州。刘备不同意，并经法正劝谏进攻汉中。黄忠于定军山斩杀夏侯渊，刘备得到汉中，称为汉中王。同年冬关羽进攻曹仁，后遭东吴蒙蔽奇袭被杀，孙刘联盟正式决裂。,219,10
13,夷陵,270,285,遗恨夷陵,刘备发兵东吴为关羽报仇，被东吴陆逊于夷陵之战大败，刘备逃往至白帝城，病危托孤于诸葛亮，于永安宫去世，享年六十三，谥为昭烈皇帝。,223,9
