地名,x,y,介绍,人物
安定,144,130,现地址：甘肃庆阳市镇原县东南。西汉元鼎三年（前114）置。治所在高平（今宁夏固原）。东汉移治临泾（今甘肃镇原东南）。三国魏同。辖境相当今甘肃泾川、宁县、祟信、平凉、镇原和宁夏泾源、隆德、固原、西吉等县地。,
北地,130,86,现地址：宁夏吴忠市西南黄河东岸。秦置，故治义渠，即今甘肃庆阳西南。西汉移治马岭镇。东汉移治富平，辖境相当今甘肃宁县、庆阳、环县、正宁、合水、华池、宁夏、石咀山、银川、灵武、青铜峡、永宁与陕西铜川西北、内蒙古乌兰布和沙漠东南一部分县、市地区。,
敦煌,161,166,现地址：甘肃酒泉市敦煌西。亦作邺煌，汉置，为敦煌郡治，应劭曰，敦大，粕盛也，北周改为鸣沙，隋复曰敦煌，唐武德初为瓜州治，建中间陷于吐蕃，宋入西夏，元为沙州路治，明置沙州卫，清改置敦煌县，为安西府治，后府废，属甘肃安西州，今属甘肃安肃道。,
汉阳,88,107,现地址：甘肃天水市西北。东汉永平十七年（74）改天水郡置。治所在冀县（今甘肃甘谷东南）。辖境相当今甘肃定西、陇西、礼县以东，静宁、庄浪以西，黄河以南，嶓冢山以北地。三国魏复名天水。,
金城,133,169,现地址：甘肃临夏回族自治州永靖县西北湟水南岸。汉始元六年（前81）置。治所在允吾（今甘肃永靖西北）；三国魏移治榆中（今甘肃兰州东三十公里），辖境西部缩小，只相当今大通河下游以东、包括民和、永靖、永登、兰州等县、市地。,韩遂，樊稠，金城
酒泉,155,162,现地址：甘肃酒泉市。汉元狩二年（前121）以原匈奴昆邪王地置，治所在禄福（晋改为福禄，隋改酒泉，今甘肃酒泉），辖境相当今甘肃疏勒河以东、高台县以西一段河西走廊地区。三国魏同。,
陇西,68,103,现地址：甘肃天水、甘谷、武山、岷县、陇西、临洮等。地区名。陇西在古代是从地理方位指称陇山（六盘山）以西的地方。又称陇右（古人以西为右），陇右在很多情况下也指甘肃。秦穆公用由余之谋称霸西戎，公元前280年（秦昭王二十七年）在以上地区设陇西郡，后为天下三十六郡之一。,
南安,124,155,现地址：甘肃陇西市东南。汉献帝建安中期（196—220），从汉阳郡析置南安郡。 治原道县（今陇西东南），领3县：原道、新兴（今漳县、武山境内）、中陶（今陇西东南、漳县境内）。 属凉州。魏文帝黄初元年（公元220年）南安郡属秦州，仍 治原道县（今陇西东南）。,
天水,131,122,现地址：甘肃。西汉元鼎三年（前114）置。治所在平襄（今通渭西北）。辖境相当今甘肃通渭、静宁、秦安、定西、清水、庄浪、甘谷、张家川等县及天水市西北部、陇西东部、榆中东北部地。东汉永平十七年（74）改为汉阳郡，并移治冀县，在今甘肃甘谷东十公里。三国魏复名天水郡。诸葛亮进兵河西走廊，天水等三郡吏民叛魏应亮。,
武都,117,105,现地址：甘肃陇南市成县西北十五公里。汉元鼎六年（前111）置。治所在武都，东汉移治下辨，三国蜀汉同。辖境相当今甘肃宕昌、舟曲、西和，武都、康县、成县、徽县、两当及陕西凤县、略阳等地。,
武威,146,173,现地址：甘肃武威市。汉元狩二年以原匈奴休屠王地置。故治武威（今甘肃民勤东北），东汉移治姑臧（今甘肃武威），三国魏同。辖境相当今甘肃黄河流域以西、永昌以东及石羊河流域、包括河西走廊东南大部。汉、魏时为通往西域的重要通道。,贾诩，张绣，张济
张掖,129,169,现地址：甘肃张掖市北。汉元鼎六年（前111）分武威郡置。治所在觻得（今甘肃张掖西北）。辖境相当今甘肃永昌以西，高台以东地区。,郭汜
