人名,所属,词频,关系,x,y,,,,,,,,,,,,,,,,,,,,,,
zhouyu,3,7,0,6,66,周瑜,,,,,,,,,,,,,,,,,,,,,
caocao,2,3,-6,454,390,曹操,抗曹,中计,游说,1,2,2,-10,-6,0,,,,,,,,,,,,
caoren,2,3,-24,335,403,曹仁,隔江对峙,撤退,伤,3,2,2,0,0,-8,,,,,,,,,,,,
chengpu,3,5,8,248,469,程普,同僚,不服,侮辱,容忍,改观,3,2,2,1,2,8,-5,-7,0,6,,,,,,
ganning,3,2,13,162,403,甘宁,派遣,解救,1,1,0,7,,,,,,,,,,,,,,,
huanggai,3,1,8,87,332,黄盖,部将,2,6,,,,,,,,,,,,,,,,,,
lusu,3,1,6,74,215,鲁肃,同僚,3,8,,,,,,,,,,,,,,,,,,
sunce,3,7,66,215,205,孙策,礼遇,器重,挚友,连襟,亲如兄弟,帮助,任命,2,2,3,3,3,1,2,6,8,8,8,8,6,6
sunquan,3,3,26,255,140,孙权,礼遇,器重,辅佐,2,2,1,6,8,6,,,,,,,,,,,,
zhugeliang,1,5,-3,376,49,诸葛亮,明争暗斗,三气周瑜,既生瑜何生亮,哭丧,惺惺相惜,3,2,1,3,-7,0,6,8,,,,,,,,
zhangzhao,3,1,6,452,160,张昭,同僚,3,8,,,,,,,,,,,,,,,,,,
yuanshu,4,2,8,470,274,袁术,托辞,招揽,1,2,0,5,,,,,,,,,,,,,,,
