人名,所属,词频,关系,x,y,,,,,,,,,,,,,,,,,,,
lvbu,4,7,0,2,35,吕布,,,,,,,,,,,,,,,,,,
caocao,2,5,-32,338,372,曹操,征战,不敌,短暂议和,围攻,缢杀,1,1,3,2,2,-5,-7,5,-7,-10,,,
chengong,4,1,8,333,469,陈宫,部下,2,6,,,,,,,,,,,,,,,
dingyuan,4,4,35,246,420,丁原,任为亲簿,亲待,义子,主君,2,2,1,2,5,7,8,8,,,,,,
dongzhuo,4,6,34,192,408,董卓,喜爱,任命,信任,刺杀,义子,诱杀丁原,2,2,2,1,1,2,8,6,9,-10,8,-8
gaoshun,4,1,8,91,405,高顺,部下,2,6,,,,,,,,,,,,,,,
guanyu,1,1,-10,78,317,关羽,三英战吕布,3,0,,,,,,,,,,,,,,,
liubei,1,3,20,130,252,刘备,投靠,攻打,三英战吕布,1,1,3,6,-8,0,,,,,,,,,
sunjian,3,1,-8,156,163,孙坚,败,1,-6,,,,,,,,,,,,,,,
yuanshao,4,4,2,242,70,袁绍,转投,刺杀,畏惧,逃脱,1,2,2,1,5,-10,-8,-7,,,,,,
yuanshu,4,3,4,348,133,袁术,投靠,不满,联合,1,1,3,5,-7,8,,,,,,,,,
zhangfei,1,1,-10,388,234,张飞,三英战吕布,3,0,,,,,,,,,,,,,,,
zhangliao,2,1,2,490,316,张辽,部下,2,6,,,,,,,,,,,,,,,
