人名,所属,词频,关系,x,y,,,,,,,,,,,,,,,,
simayi,5,7,0,5,43,司马懿,,,,,,,,,,,,,,,
caocao,2,3,21,416,368,曹操,建议军事屯田制,采纳,辅佐过的君主,,1,2,2,7,7,8,,,,,
caofang,2,3,19,343,435,曹芳,辅政,问政,辅佐过的君主,,1,2,2,7,7,8,,,,,
caopi,2,4,43,257,405,曹丕,老师,倚重,协助,辅佐过的君主,2,1,2,2,8,8,7,8,,,
caorui,2,4,38,184,382,曹睿,辅政,劝谏,托孤,辅佐过的君主,1,1,2,2,7,7,6,8,,,
caoshuang,2,5,-18,107,325,曹爽,同僚,矛盾,夺军权,排挤,主要敌对者,3,3,1,2,2,8,-6,-9,-8,-10
dengai,5,2,5,45,206,邓艾,筹划,提拔,3,1,6,8,,,,,,,,,
luxun,3,1,-9,137,116,陆逊,主要敌对者,2,-10,,,,,,,,,,,,
simashi,5,1,20,250,104,司马师,长子,2,10,,,,,,,,,,,,
simazhao,5,1,10,360,88,司马昭,次子,2,10,,,,,,,,,,,,
sunquan,3,1,-8,456,156,孙权,退,1,-6,,,,,,,,,,,,
zhugeliang,1,3,-25,433,276,诸葛亮,成功对抗,抗击,主要敌对者,2,-10,,,,,,,,,,
