人名,所属,词频,关系,x,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhaoyun,1,7,0,5,102,赵云,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gongsunzan,4,5,24,420,370,公孙瓒,投奔,嘲笑,随,救,主君,1,2,1,1,1,6,-6,4,10,9,,,,,,,,,,,,,,,
huangzhong,1,2,16,358,455,黄忠,救,蜀军五虎将,1,3,8,8,,,,,,,,,,,,,,,,,,,,,,,,
liubei,1,10,102,264,354,刘备,合作,好印象,有心依托,追随,任命,建议,听从,赞叹,直言进谏,主君,3,2,1,1,2,1,2,2,1,2,6,8,7,5,5,5,5,7,4,10
liushan,1,4,33,178,389,刘禅,保护,夺阿斗,追谥,主君,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,
yujin,2,2,10,56,338,于禁,推荐,同乡,1,3,5,0,,,,,,,,,,,,,,,,,,,,,,,,
zhangfei,1,3,9,48,209,张飞,心服,不服,蜀军五虎将,2,2,3,6,-6,8,,,,,,,,,,,,,,,,,,,,,
zhaofan,4,2,-5,97,69,赵范,取代,婉拒亲事,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
zhugeliang,1,2,16,247,78,诸葛亮,率领,称赞,2,2,4,8,,,,,,,,,,,,,,,,,,,,,,,,
machao,1,1,8,377,52,马超,蜀军五虎将,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
guanyu,1,1,8,480,142,关羽,蜀军五虎将,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
caozhen,2,2,-13,487,274,曹真,阻挡,牵制,1,1,-4,-3,,,,,,,,,,,,,,,,,,,,,,,,
