人名,所属,词频,关系,x,y,,,,,,,,,,,,,
zhugeliang,1,7,0,5,45,诸葛亮,,,,,,,,,,,,
feiyi,1,2,8,450,360,费祎,后继,推荐,1,1,5,7,,,,,,
guanyu,1,2,14,380,404,关羽,同僚,镇守荆州,3,3,8,4,,,,,,
huangchengyan,4,1,9,318,460,黄承彦,岳父,2,10,,,,,,,,,
jiangwan,1,2,8,232,465,蒋琬,后继,推荐,1,1,5,7,,,,,,
liubei,1,4,45,207,358,刘备,主君,三顾茅庐,隆中对,临终托孤,2,1,1,2,10,6,6,8
liushan,1,4,36,160,325,刘禅,辅佐,主君,依赖,尽心尽力,1,2,2,1,6,10,5,8
simayi,2,2,-30,147,275,司马懿,战,称赞,3,2,-10,8,,,,,,
zhangfei,1,2,14,123,202,张飞,同僚,镇守荆州,3,3,8,4,,,,,,
zhaoyun,1,2,14,170,142,赵云,同僚,镇守荆州,3,3,8,4,,,,,,
xushu,1,2,17,240,120,徐庶,好友,推荐,3,2,9,6,8,7,,,,
sunquan,3,3,5,322,60,孙权,求救,游说,说服抗曹,1,1,1,0,0,6,,,
zhugedan,5,1,10,390,130,诸葛诞,堂兄弟,3,10,,,,,,,,,
zhanghe,2,1,-10,443,195,张郃,伏杀,1,-10,,,,,,,,,
menghuo,4,1,-8,472,275,孟获,讨伐,1,-8,,,,,,,,,
